Rank,Hoop Intellect | 12/8,No Ceilings | 12/15,Yahoo | 12/18,Global Scouting | 12/3,The Ringer | 8/2,Athletic | 12/6,NBA Big Board | 8/21,ESPN | 11/30,Bleacher Report | 12/21
40,Riley Kugel,Alex Karaban,London Johnson,Riley Kugel,,Jaylon Tyson,,Dalton Knecht,Kobe Johnson
41,Melvin Ajinca,Tyler Kolek,Bronny James,Kylan Boswell,,Hunter Sallis,,Alex Karaban,Trey Alexander
42,Alex Toohey,Oso Ighodaro,,Alex Toohey,,Yves Missi,,Kobe Johnson,Alex Karaban
43,Aaron Bradshaw,Jared McCain,,Dillon Jones,,Elliot Cadeau,,Berke Buyuktuncel,Zach Edey
44,Aday Mara,Otega Oweh,,Tyler Kolek,,Aaron Bradshaw,,Terrence Shannon Jr.,Tyler Kolek
45,Alex Karaban,Aaron Bradshaw,,Melvin Ajinca,,Milan Momcilovic,,Mark Mitchell,Judah Mintz
46,Jamir Watkins,DaRon Holmes II,,Alex Karaban,,Trevon Brazile,,Zach Edey,Jaxson Robinson
47,Roddy Gayle Jr.,Yves Missi,,Trentyn Flowers,,Alex Karaban,,Payton Sandfort,Reece Beekman
48,Hunter Sallis,Melvin Ajinca,,Dillon Mitchell,,Baba Miller,,Alex Toohey,Zvonimir Ivisic
49,Reece Beekman,Omaha Biliew,,Terrence Shannon Jr.,,Aday Mara,,Keshad Johnson,Trentyn Flowers
50,DaRon Holmes II,Tristan Da Silva,,Reece Beekman,,Kylan Boswell,,Riley Kugel,Aday Mara
51,PJ Hall,Zach Edey,,Zach Edey,,P.J. Hall,,Ajay Mitchell,Bronny James
52,Desmond Claude,Miles Kelly,,Ajay Mitchell,,Riley Kugel,,Pacome Dadiet,Mantas Rubstavicius
53,Dillon Jones,Dillon Mitchell,,DaRon Holmes II,,Ariel Hukporti,,Ariel Hukporti,Matthew Cleveland
54,Adama Bal,Elliot Cadeau,,AJ Johnson,,Ryan Kalkbrenner,,Trentyn Flowers,Nikola Djurisic
55,Grant Nelson,Adou Thiero,,Ryan Kalkbrenner,,Harrison Ingram,,Baylor Scheierman,Hunter Sallis
56,Zach Edey,Ajay Mitchell,,Pacome Dadiet,,Baylor Scheierman,,AJ Johnson,PJ Hall
57,Zvonimir Ivisic,Tristen Newton,,Ariel Hukporti,,Juan Nunez,,Zacharie Perrin,Harrison Ingram
58,Tyon Grant-Foster,Matthew Cleveland,,Ilias Kamardine,,Tyon Grant-Foster,,Judah Mintz,Pacome Dadiet
59,Pacome Dadiet,Trentyn Flowers,,Hunter Sallis,,Matthew Cleveland,,Kwame Evans,Elmarko Jackson
60,Dillon Mitchell,Ariel Hukporti,,Tucker DeVries,,Dillon Jones,,Bronny James,Thierry Darlan
,,,,,,Pacome Dadiet,,Terrance Arceneaux,Jared McCain
,,,,,,DaRon Holmes II,,Ugonna Onyenso,Elliot Cadeau
,,,,,,Jamir Watkins,,Freddie Dilione,Xavier Booker
,,,,,,Adou Thiero,,Omaha Biliew,Mackenzie Mgbako
,,,,,,Kam Jones,,Mackenzie Mgbako,Omaha Biliew
,,,,,,Tristen Newton,,Xavier Booker,Sean Stewart
,,,,,,Bryce Hopkins,,JJ Starling,London Johnson
,,,,,,Judah Mintz,,Babacar Sane,Dillon Jones
,,,,,,A.J. Johnson,,Nikola Djurisic,Terrance Arceneaux
,,,,,,Isaiah Stevens,,Ryan Kalkbrenner,Riley Kugel
,,,,,,Cam Spencer,,Milos Uzan,Jalen Bridges
,,,,,,Quinten Post,,Mantas Rubstavicius,Baylor Scheierman
,,,,,,Antonio Reeves,,Nae'Qwan Tomlin,RJ Luis
,,,,,,Dillon Mitchell,,Miles Kelly,DaRon Holmes II
,,,,,,Berke Buyuktuncel,,DaRon Holmes II,
,,,,,,Erik Reynolds II,,,
,,,,,,Bruce Thornton,,,
,,,,,,Reece Beekman,,,
,,,,,,Arthur Kaluma,,,
,,,,,,Trentyn Flowers,,,
,,,,,,Aziz Bandaogo,,,
,,,,,,Olivier Nkamhoua,,,
,,,,,,Spencer Jones,,,
,,,,,,Roddy Gayle Jr.,,,
,,,,,,Payton Sandfort,,,
,,,,,,Otega Oweh,,,
,,,,,,Tucker DeVries,,,
,,,,,,Allen Flanigan,,,
,,,,,,Mark Mitchell,,,
,,,,,,Miles Kelly,,,
,,,,,,Branden Carlson,,,
,,,,,,Max Shulga,,,
,,,,,,Emanuel Miller,,,
,,,,,,Walter Clayton Jr.,,,
,,,,,,Keshad Johnson,,,
,,,,,,Johni Broome,,,
,,,,,,Grant Nelson,,,
,,,,,,Jalen Bridges,,,
,,,,,,Zacharie Perrin,,,
,,,,,,Tyson Walker,,,
