pick_no,prospect
1,C. Flagg
2,D. Harper
3,A. Bailey
4,V. Edgecombe
5,D. Queen
6,T. Johnson
7,K. Knueppel
8,C. Murray-Boyles
9,T. Sorber
10,J. Richardson
11,J. Fears
12,K. Jakucionis
13,K. Maluach
14,A. Thiero
15,L. McNeeley
16,N. Essengue
17,C. Bryant
18,B. Saraf
19,W. Clayton Jr.
20,A. Newell
21,M. Raynaud
22,C. Coward
23,K. Jones
24,N. Clifford
25,J. Broome
26,N. Traore
27,E. Demin
28,H. Gonzalez
29,W. Riley
30,N. Penda

