name,,club,age,height,weight,wingspan,length,bmi,off_pos,def_pos,headshot,logo
Izan Almansa,I. Almansa,Overtime Elite,19,"6'9.25""",220 lbs,"7'1""",3.75,23.4,,,https://estaticos-cdn.prensaiberica.es/clip/cb71a956-c656-4b60-aa93-3f23309a7765_16-9-discover-aspect-ratio_default_0.jpg,https://smartabase.com/wp-content/uploads/2022/10/OTE_Site-logo.png
Alex Karaban,A. Karaban,UConn,21.6,"6'6.5""",219 lbs,"6'11""",4.5,25,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4917149.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Jalen Bridges,J. Bridges,Baylor,23.1,"6'6.75""",213 lbs,"6'10""",3.25,24.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432946.png,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Ajay Mitchell,A. Mitchell,UC Santa Barbara,22,"6'3.25""",197 lbs,"6'6.25""",3,24.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4900671.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png
Antonio Reeves,A. Reeves,Kentucky,23.6,"6'4.5""",187 lbs,"6'8.25""",3.75,22.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592686.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Ariel Hukporti,A. Hukporti,Riesen Ludwigsburg,22.2,"6'10.75""",246 lbs,"7'2.5""",3.75,25.3,,,https://cdn.nba.com/manage/2022/06/GettyImages-1233618446.jpg,https://static.flashscore.com/res/image/data/C8DvcA2g-z7oEwKxC.png
Baylor Scheierman,B. Scheierman,Creighton,23.7,"6'6.25""",202 lbs,"6'8.25""",2,23.2,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593841.png,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
Boogie Ellis,B. Ellis,USC,23.5,"6'0.75""",185 lbs,"6'7""",6.25,24.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593106.png,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Cam Christie,C. Christie,Minnesota,18.9,"6'4.5""",190 lbs,"6'8""",3.5,22.8,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4845363.png,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Cam Spencer,C. Spencer,UConn,24.2,"6'3""",202 lbs,"6'5""",2,25.2,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433083.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
David Jones,David J.,Memphis,22.5,"6'3.5""",211 lbs,"6'6.75""",3.25,26,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4713010.png,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Devin Carter,D. Carter,Providence,22.2,"6'2.25""",193 lbs,"6'8.75""",6.5,24.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433188.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png
Dillon Jones,Dillon J.,Weber St,22.6,"6'4.5""",237 lbs,"6'11""",6.5,28.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702159.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png
Enrique Freeman,E. Freeman,Akron,23.9,"6'7.25""",212 lbs,"7'2""",6.75,23.7,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592699.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Harrison Ingram,H. Ingram,UNC,21.5,"6'5.25""",234 lbs,"7'0.25""",7,27.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433618.png,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
Hunter Sallis,H. Sallis,Wake Forest,21.2,"6'3.5""",179 lbs,"6'9.75""",6.25,22.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433281.png,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Isaac Jones,I. Jones,Washington St,23.9,"6'7.75""",235 lbs,"7'0""",4.25,26,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107818.png,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Jamal Shead,J. Shead,Houston,21.9,"6'0.25""",201 lbs,"6'3""",2.75,27.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432241.png,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Jamir Watkins,J. Watkins,Florida St,22.9,"6'5""",212 lbs,"6'10.75""",5.75,25.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4606840.png,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
