metric,status,value
Poss,Kelly Played,1038
NRTG,Kelly Played,5.0
eFG% adv,Kelly Played,4.5
OREB% adv,Kelly Played,4.7
TOV% adv,Kelly Played,-3.6
FTArate adv,Kelly Played,4.3
On/Off Swing,Kelly Played,5.0
Poss,Kelly Sat,211
NRTG,Kelly Sat,6.8
eFG% adv,Kelly Sat,-2.0
OREB% adv,Kelly Sat,8.9
TOV% adv,Kelly Sat,2.7
FTArate adv,Kelly Sat,2.6
On/Off Swing,Kelly Sat,17.5
