Rank,Hoop Intellect | 6/3,No Ceilings | 6/11,CBS | 6/22,Yahoo | 6/16,The Ringer | 6/10,Athletic | 6/23,NBA Big Board | 6/9,ESPN | 6/23,Bleacher Report | 6/23,Fox Sports | 6/20
46,RJ Luis Jr.,Payton Sandfort,Alijah Martin,Sion James,,Max Shulga,RJ Luis Jr.,Kam Jones,Javon Small,
47,Micah Peavy,Johni Broome,Dink Pate,Ryan Nembhard,,Rocco Zikarsky,Max Shulga,Micah Peavy,Rocco Zikarsky,
48,Amari Williams,Alex Toohey,Ryan Nembhard,Javon Small,,Vladislav Goldin,Micah Peavy,Javon Small,Ryan Nembhard,
49,Rocco Zikarsky,Viktor Lakhin,Amari Williams,Alijah Martin,,Jamir Watkins,Grant Nelson,Vladislav Goldin,Lachlan Olbrich,
50,John Tonje,Eric Dixon,Bogoljub Markovic,Johni Broome,,Javon Small,Rocco Zikarsky,Lachlan Olbrich,Bogoljub Markovic,
51,Hunter Sallis,Rill Richard,Grant Nelson,Brice Williams,,Ryan Nembhard,Tyrese Proctor,Eric Dixon,Mark Sears,
52,Eric Dixon,Ryan Nembhard,Hunter Sallis,Eric Dixon,,Koby Brea,Koby Brea,Alijah Martin,Eric Dixon,
53,Vladislav Goldin,Micah Peavy,Eric Dixon,Viktor Lakhin,,Lachlan Olbrich,Chaz Lanier,Amari Williams,Brice Williams,
54,Ryan Nembhard,Vladislav Goldin,Javon Small,RJ Luis Jr.,,RJ Luis Jr.,Sion James,Dink Pate,Brooks Barnhizer,
55,Lachlan Olbrich,Dylan Cardwell,Dylan Cardwell,Rocco Zikarsky,,Hunter Sallis,Jalon Moore,Viktor Lakhin,Tamar Bates,
56,Dink Pate,Hunter Sallis,Mark Sears,Dink Pate,,Brooks Barnhizer,Jacksen Moni,Hunter Sallis,Sion James,
57,Kobe Sanders,Cameron Matthews,Koby Brea,Mark Sears,,Kobe Sanders,,Kobe Sanders,Micah Peavy,
58,Tamar Bates,John Poulakidas,Vladislav Goldin,Izan Almansa,,Dink Pate,,Ryan Nembhard,John Tonje,
59,Max Shulga,Sion James,Jamir Watkins,Vladislav Goldin,,Amari Williams,,Saliou Niang,Vladislav Goldin,
60,Alijah Martin,Max Shulga,Will Richard,,,Brice Williams,,RJ Luis Jr.,Mouhamed Faye,
61,,Will Richard,Jaxson Robinson,,,Chucky Hepburn,,Chucky Hepburn,,
