name,abbr_name,club,age,height,weight,wingspan,length,bmi,headshot,logo
Ryan Nembhard,R. Nembhard,Gonzaga,23.900000000000002,"6'11.5""",252 lbs,"7'1.5""",2,25.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433629.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
Eric Dixon,E. Dixon,Villanova,22.5,"6'1""",190 lbs,"6'4.75""",3.75,25.100000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431718.png,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
Brice Williams,B. Williams,Nebraska,21.5,"6'8.75""",230 lbs,"6'11.25""",2.5,24.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592843.png,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Michael Ruzic,M. Ruzic,Joventut Badalona,,,,,,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/michael-ruzic2-1ef7cde9-ad11-6ef6-a00c-2513aaa6ada7.png,https://www.proballers.com/api/getTeamLogo?id=154&width=300
Izan Almansa,I. Almansa,Perth,,,,,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108205.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Perth_Wildcats_logo.svg/1200px-Perth_Wildcats_logo.svg.png
Mark Sears,M. Sears,Alabama,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703530.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Rocco Zikarsky,R. Zikarsky,Brisbane,,,,,,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/rocco-zikarsky-1ee690aa-1547-6266-9d4b-e56cc6d7665f.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Brisbane_Bullets_logo.svg/1200px-Brisbane_Bullets_logo.svg.png
Mouhamed Faye,M. Faye,Reggio Emilia,,,,,,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/mouhamed-faye-1ef9c597-50ee-6802-87ed-4115178f6aa7.png,https://upload.wikimedia.org/wikipedia/en/e/e0/Pallacanestro_Reggiana_logo.png
Vladislav Goldin,V. Goldin,Michigan,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700818.png,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Neoklis Avdalas,N. Avdalas,Peristeri,,,,,,,https://www.proballers.com/media/cache/torso_player/https---www.proballers.com/ul/player/neoklis-avdalas-1ef52926-89aa-6c3e-8756-ab2bb57205aa.png,https://www.proballers.com/api/getTeamLogo?id=186&width=300
Grant Nelson,G. Nelson,Alabama,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702670.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Jalon Moore,J. Moore,Oklahoma,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701819.png,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Jacksen Moni,J. Moni,North Dakota State,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5241639.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
Mackenzie Mgbako,M. Mgbako,Indiana,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683779.png,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Viktor Lakhin,V. Lakhin,Clemson,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701192.png,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Javon Small,J. Small,West Virginia,,,,,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4781746.png,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Lachlan Olbrich,L. Olbrich,Illawarra,,,,,,,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/lachlan-olbrich-copie-1efb5a51-eb46-62d8-994e-950829766a5a.png,https://upload.wikimedia.org/wikipedia/en/f/f8/Illawarra_Hawks.png
,,,,,,,,,,

