"Source"
"Hoop Intellect | 5/22"
"No Ceilings | 6/7"
"Box and One | 6/11"
"Yahoo | 6/5"
"Global Scouting | 6/3"
"The Ringer | 6/9"
"Athletic | 6/14"
"NBA Big Board | 5/31"
"ESPN |6/14"
"Bleacher Report | 6/14"
